City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Samarai,PG,2022-03-27 01:51:54,-10.6167,150.6667,87.15,66,93,14.2
200,San Rafael,AR,2022-03-27 01:50:38,-34.6177,-68.3301,67.98,22,4,7.09
201,Pietarsaari,FI,2022-03-27 01:51:55,63.65,22.6833,20.89,77,99,4.5
202,Mount Isa,AU,2022-03-27 01:51:55,-20.7333,139.5,91.17,15,0,9.22
203,Upernavik,GL,2022-03-27 01:48:16,72.7868,-56.1549,12.78,88,100,6.64
204,Dong Hoi,VN,2022-03-27 01:51:56,17.4833,106.6,85.89,65,5,1.59
205,Vostok,RU,2022-03-27 01:51:56,46.4856,135.8833,28.78,89,100,15.05
206,Tignere,CM,2022-03-27 01:51:56,7.3667,12.65,69.26,20,75,2.33
207,Geraldton,AU,2022-03-27 01:51:57,-28.7667,114.6,79.21,73,75,6.91
208,Santa Ana Huista,GT,2022-03-27 01:51:57,15.6833,-91.8167,65.95,70,88,0.47
209,Oyama,JP,2022-03-27 01:51:58,36.3,139.8,66.52,49,100,4.29
210,Pevek,RU,2022-03-27 01:51:58,69.7008,170.3133,3.94,91,100,7.65
211,Riachao Das Neves,BR,2022-03-27 01:51:59,-11.7461,-44.91,75.36,56,24,1.03
212,Sri Aman,MY,2022-03-27 01:51:59,1.2376,111.4621,77.09,94,40,3.44
213,Lavrentiya,RU,2022-03-27 01:51:59,65.5833,-171.0,18.64,89,100,2.44
214,Lata,PT,2022-03-27 01:52:00,40.1629,-8.3327,52.07,84,1,5.23
215,Santiago Del Estero,AR,2022-03-27 01:51:31,-27.7951,-64.2615,66.97,43,0,7.0
216,Basoko,CD,2022-03-27 01:52:00,1.2391,23.616,74.97,77,100,4.41
217,Celestun,MX,2022-03-27 01:52:01,20.8667,-90.4,69.93,60,5,12.91
218,Bealanana,MG,2022-03-27 01:52:01,-14.55,48.7333,65.73,98,67,1.77
219,Bagotville,AU,2022-03-27 01:52:01,-28.9833,153.4167,73.22,99,100,2.68
220,Bluff,NZ,2022-03-27 01:47:20,-46.6,168.3333,58.84,73,1,3.74
221,Faya,SA,2022-03-27 01:52:02,18.3851,42.4509,57.31,48,51,3.91
222,San Isidro,PE,2022-03-27 01:47:55,-12.1167,-77.05,69.51,73,0,9.22
223,San Luis,AR,2022-03-27 01:49:52,-33.295,-66.3356,59.41,40,0,5.46
224,Sao Lourenco Do Oeste,BR,2022-03-27 01:52:03,-26.3592,-52.8511,54.55,95,0,1.66
225,Kieta,PG,2022-03-27 01:52:03,-6.2167,155.6333,83.73,74,98,5.12
226,Los Llanos De Aridane,ES,2022-03-27 01:52:03,28.6585,-17.9182,60.55,96,75,5.75
227,Dandong,CN,2022-03-27 01:52:04,40.1292,124.3947,45.3,23,10,18.95
228,Yigou,CN,2022-03-27 01:53:04,35.8114,114.3167,52.27,18,99,11.1
229,Uglich,RU,2022-03-27 01:53:05,57.5275,38.3317,24.06,87,100,17.78
230,Yellowknife,CA,2022-03-27 01:53:05,62.456,-114.3525,4.41,79,100,11.5
231,Unguia,CO,2022-03-27 01:53:05,8.0434,-77.0945,75.11,94,78,3.96
232,Teya,RU,2022-03-27 01:53:06,60.3778,92.6267,12.85,86,100,10.92
233,Malakal,SS,2022-03-27 01:53:06,9.5334,31.6605,78.1,11,78,10.2
234,San Quintin,MX,2022-03-27 01:53:07,30.4833,-115.95,60.19,84,6,7.87
235,Araouane,ML,2022-03-27 01:53:07,18.9048,-3.5265,79.7,31,76,6.76
236,Sinop,TR,2022-03-27 01:53:07,41.7711,34.8709,27.48,84,7,11.56
237,Banda Aceh,ID,2022-03-27 01:53:08,5.5577,95.3222,82.47,76,9,3.06
238,Bairiki,KI,2022-03-27 01:53:08,1.3292,172.9752,87.8,66,40,12.66
239,Mogwase,ZA,2022-03-27 01:53:09,-25.185,27.2665,62.89,85,5,3.71
240,Cervo,ES,2022-03-27 01:53:09,43.6702,-7.4101,54.48,81,100,3.33
241,Portel,BR,2022-03-27 01:53:09,-1.9356,-50.8211,74.62,98,100,4.38
242,Guerrero Negro,MX,2022-03-27 01:53:10,27.9769,-114.0611,62.01,85,2,14.38
243,Lesozavodsk,RU,2022-03-27 01:53:10,45.4794,133.4244,36.14,86,97,12.28
244,Ciudad Bolivar,VE,2022-03-27 01:53:11,8.1222,-63.5497,81.61,63,94,13.33
245,Tuatapere,NZ,2022-03-27 01:53:11,-46.1333,167.6833,65.59,59,5,5.03
246,Zhuanghe,CN,2022-03-27 01:53:11,39.7008,122.9911,46.04,22,0,18.72
247,Praia,CV,2022-03-27 01:53:12,14.9215,-23.5087,68.54,73,20,8.05
248,Kokstad,ZA,2022-03-27 01:53:12,-30.5472,29.4241,52.48,95,28,2.35
249,Mattru,SL,2022-03-27 01:53:13,7.6244,-11.8332,77.58,87,100,0.81
250,Umm Lajj,SA,2022-03-27 01:53:13,25.0213,37.2685,68.85,29,0,21.68
251,Chuy,UY,2022-03-27 01:53:13,-33.6971,-53.4616,62.96,83,17,8.99
252,Houma,US,2022-03-27 01:50:17,29.5958,-90.7195,64.4,71,0,1.99
253,Upata,VE,2022-03-27 01:53:14,8.0086,-62.3989,72.03,87,100,6.44
254,Namibe,AO,2022-03-27 01:53:15,-15.1961,12.1522,71.58,72,98,7.29
255,Sorland,NO,2022-03-27 01:53:15,67.667,12.6934,32.34,92,100,23.35
256,Longyearbyen,SJ,2022-03-27 01:53:16,78.2186,15.6401,-4.16,77,20,10.36
257,Pisco,PE,2022-03-27 01:53:16,-13.7,-76.2167,66.25,82,0,9.22
258,Nikolskoye,RU,2022-03-27 01:53:16,59.7035,30.7861,24.69,72,100,15.77
259,Saint Anthony,US,2022-03-27 01:51:06,45.0205,-93.218,28.29,38,0,17.27
260,Tres Arroyos,AR,2022-03-27 01:53:17,-38.3739,-60.2798,54.5,84,0,6.11
261,San Pedro,PH,2022-03-27 01:49:14,14.35,121.0167,89.35,64,20,10.36
262,Berdigestyakh,RU,2022-03-27 01:53:17,62.0989,126.6992,22.28,91,99,7.09
263,Miri,MY,2022-03-27 01:53:18,4.4148,114.0089,75.34,100,40,9.22
264,Omboue,GA,2022-03-27 01:53:18,-1.5746,9.2618,78.01,90,100,6.93
265,Mill Valley,US,2022-03-27 01:53:19,37.906,-122.545,62.82,77,100,5.01
266,Juneau,US,2022-03-27 01:51:25,58.3019,-134.4197,44.6,85,75,6.91
267,Oum Hadjer,TD,2022-03-27 01:53:19,13.2954,19.6966,72.39,13,10,11.14
268,Melfort,CA,2022-03-27 01:51:20,52.8667,-104.6177,3.33,55,8,5.75
269,Am Timan,TD,2022-03-27 01:53:20,11.0297,20.2827,77.0,17,82,7.11
270,Poum,NC,2022-03-27 01:53:20,-20.2333,164.0167,81.03,69,50,6.82
271,Iqaluit,CA,2022-03-27 01:53:21,63.7506,-68.5145,17.33,79,40,8.05
272,Mahibadhoo,MV,2022-03-27 01:52:20,3.7833,72.9667,81.43,64,53,6.93
273,Beyneu,KZ,2022-03-27 01:53:22,45.3167,55.2,33.98,85,86,10.42
274,Paraipaba,BR,2022-03-27 01:54:23,-3.4394,-39.1483,74.12,93,100,3.15
275,Balkhash,KZ,2022-03-27 01:54:23,46.844,74.9804,38.01,93,20,13.42
276,Qiyang,CN,2022-03-27 01:54:23,26.5911,111.8474,52.61,86,100,4.74
277,Dikson,RU,2022-03-27 01:51:00,73.5069,80.5464,-9.29,99,84,11.83
278,College,US,2022-03-27 01:54:24,64.8569,-147.8028,37.72,54,100,0.0
279,Balakhninskiy,RU,2022-03-27 01:54:24,58.0106,114.2769,15.82,90,100,2.86
280,Krapivinskiy,RU,2022-03-27 01:54:25,54.9992,86.8133,11.89,94,100,3.04
281,Bacolod,PH,2022-03-27 01:54:25,10.6667,122.95,87.84,56,100,9.42
282,Tshikapa,CD,2022-03-27 01:54:26,-6.4167,20.8,70.74,92,94,1.59
283,Rancho Cucamonga,US,2022-03-27 01:51:29,34.1064,-117.5931,80.94,40,20,12.66
284,Cayenne,GF,2022-03-27 01:53:43,4.9333,-52.3333,81.09,1,100,7.0
285,Rocha,UY,2022-03-27 01:54:26,-34.4833,-54.3333,64.76,80,99,10.65
286,Carutapera,BR,2022-03-27 01:54:27,-1.195,-46.02,75.74,95,99,4.56
287,Arraial Do Cabo,BR,2022-03-27 01:54:27,-22.9661,-42.0278,75.87,93,10,5.77
288,Belmonte,BR,2022-03-27 01:50:59,-15.8631,-38.8828,77.95,83,8,6.96
289,Zletovo,MK,2022-03-27 01:54:28,41.9886,22.2361,45.61,56,0,3.36
290,Chernyshevskiy,RU,2022-03-27 01:54:28,63.0128,112.4714,13.86,93,100,3.06
291,Caconda,AO,2022-03-27 01:54:29,-13.7333,15.0667,60.37,83,99,0.83
292,Luganville,VU,2022-03-27 01:54:29,-15.5333,167.1667,83.53,80,97,4.16
